Title,Author,Publisher,Published Date,Genre,ISBN,Author Name,Nationality,Birth Date,Publisher Name,Country
Wildfire at Midnight,Reena Hahn,Kris LLC,2019-07-01,Comic/Graphic Novel,403395505-4,Reena Hahn,Macao,1982-07-03,Kris LLC,Guyana
The Moving Toyshop,Sherika Schultz,"Littel, Cummings and Effertz",1995-10-28,Reference book,616731655-4,Sherika Schultz,Iceland,1958-09-28,"Littel, Cummings and Effertz",Greenland
Down to a Sunless Sea,Cecil Swift,Gorczany Group,2019-09-23,Classic,411504801-8,Cecil Swift,Greece,1985-03-25,Gorczany Group,Kenya
If I Forget Thee Jerusalem,Evia O'Reilly,"Runolfsdottir, Schmeler and Robel",1994-07-02,Short story,311347971-1,Evia O'Reilly,Bangladesh,1943-01-10,"Runolfsdottir, Schmeler and Robel",Equatorial Guinea
Have His Carcase,Olevia Goodwin III,Bruen Group,1976-07-26,Fiction in verse,439555297-8,Olevia Goodwin III,Hungary,2005-06-16,Bruen Group,Panama
Let Us Now Praise Famous Men,Rick Thiel DO,"Altenwerth, Volkman and Weissnat",1999-11-26,Fiction in verse,639200227-8,Rick Thiel DO,Malaysia,1940-05-05,"Altenwerth, Volkman and Weissnat",Georgia
Terrible Swift Sword,Hong Marks,"Lehner, Koepp and Abernathy",1994-09-14,Narrative nonfiction,761575008-3,Hong Marks,Denmark,1958-05-03,"Lehner, Koepp and Abernathy",Western Sahara
The Millstone,Kathlyn Howe,Cruickshank-Denesik,2010-12-05,Fantasy,798084290-1,Kathlyn Howe,Finland,1985-01-03,Cruickshank-Denesik,Equatorial Guinea
Frequent Hearses,Gov. Pearlene Rippin,"Watsica, Schuster and Marvin",1987-04-22,Fiction narrative,578636039-3,Gov. Pearlene Rippin,Somalia,1954-07-26,"Watsica, Schuster and Marvin",Papua New Guinea
The Widening Gyre,Karen Hills,"Hoeger, Hayes and Bogisich",1995-05-18,Crime/Detective,899567042-8,Karen Hills,Jamaica,1939-12-30,"Hoeger, Hayes and Bogisich",Portugal
Brandy of the Damned,Babette Smitham,Gibson and Sons,1974-10-07,Classic,542305573-3,Babette Smitham,"Virgin Islands, U.S.",1964-01-11,Gibson and Sons,Bosnia and Herzegovina
A Darkling Plain,Grazyna Dach II,"Ryan, Nikolaus and Schultz",1993-02-01,Textbook,762511428-7,Grazyna Dach II,Sri Lanka,1959-11-20,"Ryan, Nikolaus and Schultz",Guernsey
The Other Side of Silence,Myung Brown,Breitenberg-Gutkowski,1988-12-25,Legend,598786225-6,Myung Brown,Brazil,1969-11-03,Breitenberg-Gutkowski,Sao Tome and Principe
Ego Dominus Tuus,Denny Prosacco DVM,"Olson, Cormier and Reilly",1978-12-16,Fairy tale,133710928-2,Denny Prosacco DVM,Armenia,1980-08-01,"Olson, Cormier and Reilly",Malta
A Scanner Darkly,Sherika Schultz,Lind-Veum,2001-08-26,Western,645624490-0,Sherika Schultz,Iceland,1958-09-28,Lind-Veum,American Samoa
The Daffodil Sky,Evia O'Reilly,Bosco and Sons,2024-02-14,Metafiction,188789425-X,Evia O'Reilly,Bangladesh,1943-01-10,Bosco and Sons,Lesotho
Precious Bane,Sen. Hung Bartoletti,Lindgren and Sons,1987-09-27,Metafiction,124530990-0,Sen. Hung Bartoletti,Kenya,1964-06-06,Lindgren and Sons,Armenia
East of Eden,Jann Shields,Harvey-Nolan,2014-08-04,Realistic fiction,756581849-6,Jann Shields,Zambia,1960-09-27,Harvey-Nolan,Niue
The Man Within,Sydney Pouros,Hermann and Sons,2011-09-06,Mythopoeia,674458534-7,Sydney Pouros,Angola,1936-07-21,Hermann and Sons,Gabon
Shall not Perish,Collin Muller MD,"VonRueden, Ratke and D'Amore",2003-07-12,Horror,600528109-7,Collin Muller MD,Qatar,1972-08-24,"VonRueden, Ratke and D'Amore",Cape Verde
Many Waters,Becky Bergstrom,"Reinger, Bechtelar and Zemlak",1978-03-31,Fable,968058596-4,Becky Bergstrom,Indonesia,1937-07-25,"Reinger, Bechtelar and Zemlak",Mauritius
Waiting for the Barbarians,Scottie Bruen,Olson and Sons,2014-10-21,Speech,133436968-2,Scottie Bruen,Brunei Darussalam,1983-03-24,Olson and Sons,Fiji
The Millstone,Vance Zulauf,Gorczany-Wolff,2022-07-15,Tall tale,362204923-5,Vance Zulauf,Ethiopia,2001-05-23,Gorczany-Wolff,Belgium
Clouds of Witness,Steve Kertzmann,Erdman and Sons,2014-08-17,Speech,503696558-2,Steve Kertzmann,Mauritius,1986-04-15,Erdman and Sons,"Virgin Islands, U.S."
A Glass of Blessings,Taunya Stokes,Tremblay-Bechtelar,2003-11-09,Fairy tale,750472767-9,Taunya Stokes,Namibia,1979-02-02,Tremblay-Bechtelar,Kazakhstan
In a Dry Season,Msgr. Malcom Bosco,"Rippin, Rice and Robel",1992-07-02,Fanfiction,439906396-3,Msgr. Malcom Bosco,Mexico,1996-12-03,"Rippin, Rice and Robel",Kiribati
Of Human Bondage,Msgr. Todd Huels,Bradtke-Huels,1976-12-12,Folklore,906796455-7,Msgr. Todd Huels,Haiti,1967-10-07,Bradtke-Huels,Brunei Darussalam
A Darkling Plain,Mrs. Newton Boyle,"Jacobs, Skiles and Klocko",1983-05-12,Crime/Detective,148999712-1,Mrs. Newton Boyle,Palau,1990-05-24,"Jacobs, Skiles and Klocko",Saint Helena
Precious Bane,Clemencia Veum,Gerlach-Wehner,2009-05-05,Suspense/Thriller,713088565-3,Clemencia Veum,Norway,1946-06-25,Gerlach-Wehner,Taiwan
The Waste Land,Wendell Ondricka,Ernser Group,1993-10-21,Fanfiction,969107151-7,Wendell Ondricka,Cayman Islands,2005-12-11,Ernser Group,Lithuania
Edna O'Brien,Eduardo Langosh,"Bartoletti, Walker and Daniel",1991-10-23,Fiction in verse,553835606-X,Eduardo Langosh,French Polynesia,1996-02-14,"Bartoletti, Walker and Daniel",Honduras
No Highway,Sen. Hung Bartoletti,"Hoeger, Hayes and Bogisich",1985-07-07,Metafiction,229993638-6,Sen. Hung Bartoletti,Kenya,1964-06-06,"Hoeger, Hayes and Bogisich",Portugal
Endless Night,Leena Daugherty,Gottlieb Group,1982-05-23,Science fiction,210036408-1,Leena Daugherty,San Marino,2003-11-10,Gottlieb Group,Rwanda
It's a Battlefield,Mrs. Newton Boyle,"Adams, Kozey and Ziemann",1989-05-02,Fanfiction,674246636-7,Mrs. Newton Boyle,Palau,1990-05-24,"Adams, Kozey and Ziemann",Mauritania
The Lathe of Heaven,Rev. Domenic Jacobi,"Reinger, Bechtelar and Zemlak",1977-05-19,Metafiction,234864361-8,Rev. Domenic Jacobi,Maldives,1958-11-03,"Reinger, Bechtelar and Zemlak",Mauritius
The Parliament of Man,Eduardo Langosh,"Bayer, Wolff and Block",1996-01-23,Fanfiction,631165303-6,Eduardo Langosh,French Polynesia,1996-02-14,"Bayer, Wolff and Block",Lebanon
The Moving Finger,Todd Grady,Rutherford Group,1991-09-08,Speech,857196516-1,Todd Grady,Sweden,1940-05-22,Rutherford Group,Haiti
Consider the Lilies,Mae Rau,"Adams, Kozey and Ziemann",2007-09-11,Suspense/Thriller,569956141-2,Mae Rau,Montserrat,1976-02-23,"Adams, Kozey and Ziemann",Mauritania
Consider the Lilies,Heriberto D'Amore,Bradtke-Huels,1979-10-29,Fairy tale,474122004-4,Heriberto D'Amore,Anguilla,1938-08-28,Bradtke-Huels,Brunei Darussalam
The Monkey's Raincoat,Fr. Jodi Yost,Streich and Sons,1982-08-20,Tall tale,660705879-5,Fr. Jodi Yost,Wallis and Futuna,1986-12-29,Streich and Sons,Guernsey
The Green Bay Tree,Marlon Bartoletti,Larson-Morar,1985-03-06,Textbook,763667145-X,Marlon Bartoletti,Cuba,1981-01-29,Larson-Morar,Cuba
To Sail Beyond the Sunset,Desmond Cummings,McGlynn Group,2021-03-04,Speech,957022369-3,Desmond Cummings,Israel,1969-11-08,McGlynn Group,Tanzania
Down to a Sunless Sea,Felipe Schmitt,"Hoeger, Hayes and Bogisich",1994-09-16,Mystery,299171403-4,Felipe Schmitt,Pitcairn Islands,1968-09-13,"Hoeger, Hayes and Bogisich",Portugal
Ring of Bright Water,Ranae McGlynn,O'Kon LLC,1986-04-25,Humor,555015102-2,Ranae McGlynn,Singapore,1970-10-23,O'Kon LLC,Saint Vincent and the Grenadines
The Golden Apples of the Sun,Prof. Nicolle Stroman,Bosco and Sons,1989-04-10,Mythopoeia,182020469-3,Prof. Nicolle Stroman,Republic of Korea,2001-02-21,Bosco and Sons,Lesotho
From Here to Eternity,Msgr. Wally Fahey,"Hoeger, Hayes and Bogisich",1980-03-28,Mythopoeia,463565530-X,Msgr. Wally Fahey,United Kingdom,1942-02-10,"Hoeger, Hayes and Bogisich",Portugal
Sleep the Brave,Tarra Muller CPA,Fay Group,1999-01-14,Fanfiction,361170901-8,Tarra Muller CPA,French Polynesia,1977-10-15,Fay Group,Malawi
Everything is Illuminated,Mariela Collins,Littel-Lind,2019-03-29,Fanfiction,214352848-5,Mariela Collins,Iran,1948-08-06,Littel-Lind,Yemen
The Lathe of Heaven,Oren Schoen,"Lehner, Brekke and Parker",1993-07-12,Narrative nonfiction,915332128-6,Oren Schoen,Russian Federation,1988-05-13,"Lehner, Brekke and Parker",Northern Mariana Islands
The Grapes of Wrath,Tarra Muller CPA,"Nikolaus, Koss and Schimmel",2000-01-21,Speech,910458196-2,Tarra Muller CPA,French Polynesia,1977-10-15,"Nikolaus, Koss and Schimmel",Vietnam
"The World, the Flesh and the Devil",Keshia Rowe,Stokes Inc,1984-07-01,Essay,181776956-1,Keshia Rowe,Timor-Leste,1951-01-06,Stokes Inc,Cameroon
Many Waters,Orpha Ward I,Bahringer LLC,1981-11-12,Short story,144792144-5,Orpha Ward I,Libyan Arab Jamahiriya,1973-03-18,Bahringer LLC,Bhutan
The Cricket on the Hearth,Sebastian Marquardt,"Bayer, Wolff and Block",2012-02-04,Comic/Graphic Novel,766339891-2,Sebastian Marquardt,Papua New Guinea,1942-10-17,"Bayer, Wolff and Block",Lebanon
Jacob Have I Loved,Conrad Morar,"Ryan, Nikolaus and Schultz",1998-07-11,Reference book,491066562-5,Conrad Morar,Benin,1938-03-03,"Ryan, Nikolaus and Schultz",Guernsey
Some Buried Caesar,Lilliana Huel,"Lockman, Crist and Brakus",1990-06-06,Fiction narrative,938666468-2,Lilliana Huel,Malta,1957-01-23,"Lockman, Crist and Brakus",New Zealand
"The World, the Flesh and the Devil",Walton Abbott JD,Kessler Group,2003-07-27,Suspense/Thriller,714118802-9,Walton Abbott JD,United States Minor Outlying Islands,1994-02-09,Kessler Group,Montenegro
